# n=12
# vedge=2000
# m=32
# passes=1
# sd_shift=7.35
# max_abs_shift=14
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,3,,1661,537,6869,
1,1,-3,,1658,534,6896,
2,1,-2,,1657,535,6867,
3,1,-2,,1657,536,6886,
4,1,9,,1636,534,6896,
5,1,-14,,1612,509,6832,
6,1,-2,,1611,503,6842,
7,1,1,,1634,510,6836,
8,1,4,,1635,537,6856,
9,1,-9,,1586,510,6858,
10,1,9,,1610,530,6845,
11,1,-14,,1585,509,6820,
