# n=12
# vedge=2000
# m=32
# passes=4
# sd_shift=5.01
# max_abs_shift=10
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,-4,5,1584,510,18934,
1,1,3,8,1602,530,18972,
2,1,-10,6,1585,509,18934,
3,1,0,8,1598,511,18973,
4,1,5,21,1610,531,18983,
5,1,-8,15,1610,512,18986,
6,1,1,10,1622,531,18983,
7,1,-9,7,1609,528,18956,
8,1,1,5,1603,534,18944,
9,1,-10,10,1609,532,18957,
10,1,-3,6,1593,513,18973,
11,1,-3,10,1598,526,18955,
