# n=12
# vedge=2000
# m=32
# passes=2
# sd_shift=2.69
# max_abs_shift=6
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,1,9,1586,523,10866,
1,1,-4,4,1583,508,10861,
2,1,3,2,1583,510,10862,
3,1,2,2,1575,509,10834,
4,1,-1,3,1583,504,10874,
5,1,-6,4,1571,507,10832,
6,1,1,4,1582,512,10854,
7,1,0,6,1573,512,10836,
8,1,-4,4,1574,507,10831,
9,1,1,6,1573,506,10874,
10,1,-1,8,1572,512,10844,
11,1,2,11,1584,507,10844,
