# n=12
# vedge=2000
# m=32
# passes=2
# sd_shift=5.15
# max_abs_shift=12
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,-2,6,1609,514,10871,
1,1,-2,6,1586,504,10858,
2,1,7,4,1599,530,10880,
3,1,-2,4,1598,529,10908,
4,1,-12,8,1596,534,10896,
5,1,4,6,1587,511,10847,
6,1,-5,10,1585,516,10859,
7,1,2,6,1585,513,10885,
8,1,-10,2,1573,489,10834,
9,1,-3,4,1539,476,10797,
10,1,-3,9,1548,498,10808,
11,1,-6,2,1535,484,10783,
