# n=25
# vedge=2000
# m=32
# passes=2
# sd_shift=5.42
# max_abs_shift=14
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,2,10,1574,561,10869,
1,1,1,6,1586,562,10897,
2,1,-2,5,1585,561,10870,
3,1,-9,6,1584,543,10886,
4,1,0,12,1584,558,10869,
5,1,7,6,1585,555,10899,
6,1,-14,6,1584,552,10896,
7,1,11,10,1586,578,10894,
8,1,-8,6,1585,553,10896,
9,1,2,2,1573,560,10867,
10,1,0,4,1584,562,10889,
11,1,3,5,1585,578,10908,
12,1,-9,6,1574,561,10886,
13,1,1,4,1584,576,10908,
14,1,1,4,1584,564,10899,
15,1,-3,4,1583,576,10909,
16,1,-4,2,1583,561,10887,
17,1,0,4,1583,575,10907,
18,1,-1,5,1584,563,10899,
19,1,-4,4,1583,577,10907,
20,1,-6,1,1572,563,10887,
21,1,-1,7,1562,560,10845,
22,1,-9,0,1560,560,10870,
23,1,0,0,1560,556,10873,
24,1,4,2,1582,565,10887,
