# n=12
# vedge=2000
# m=32
# passes=2
# sd_shift=3.13
# max_abs_shift=6
# usteps_per_rev=189704
trial,ok,shift,pass_spread,switch,backlash,fw_ms,msg
0,1,4,4,1599,510,10870,
1,1,3,0,1599,513,10872,
2,1,-4,6,1608,514,10870,
3,1,-3,8,1586,509,10884,
4,1,0,5,1609,531,10879,
5,1,-1,6,1608,531,10908,
6,1,-6,10,1586,510,10874,
7,1,0,8,1586,510,10847,
8,1,-2,6,1597,532,10879,
9,1,3,12,1610,538,10895,
10,1,-5,6,1609,530,10879,
11,1,-3,4,1599,511,10898,
